,Arrival Time (PDT),Departure Time (PDT),Arrival Charge Level,Departure Charge Level,Charge Cost,Leg Time,Stop Length,Charge Amount (%),Charge Amount (Est kWh),Average Charge Speed (kW),Average Charge Speed (mph),Cost per kWh,Bathroom-only break?,Food break?
"Seattle, WA",,2019-07-16 5:26,,100%,$0.00,,,,,,,,,
"Ellensburg, WA",2019-07-16 7:20,2019-07-16 7:28,51%,67%,$3.00,1h 54m,8m,16%,12,90,372,$0.25,TRUE,FALSE
"Kennewick, WA",2019-07-16 9:16,2019-07-16 9:36,34%,76%,$8.00,1h 48m,20m,42%,31.5,95,391,$0.25,TRUE,FALSE
"Pendleton, OR",2019-07-16 10:41,2019-07-16 10:54,48%,71%,$4.08,1h 5m,13m,23%,17.25,80,329,$0.24,TRUE,FALSE
"Baker City, OR",2019-07-16 12:12,2019-07-16 12:26,34%,60%,$4.80,1h 18m,14m,26%,19.5,84,345,$0.25,TRUE,FALSE
"Boise, ID",2019-07-16 14:16,2019-07-16 14:50,17%,83%,$11.73,1h 50m,34m,66%,49.5,87,361,$0.24,FALSE,TRUE
"Twin Falls, ID",2019-07-16 16:34,2019-07-16 16:53,35%,77%,$7.59,1h 44m,19m,42%,31.5,99,411,$0.24,TRUE,FALSE
"West Wendover, NV",2019-07-16 19:24,2019-07-16 20:27,12%,80%,$9.63,2h 31m,1h 3m,68%,51,49,201,$0.19,FALSE,TRUE
"South Jordan, UT",2019-07-16 22:54,,17%,100%,$0.00,2h 27m,,83%,62.25,,,$0.00,,
,,,,,$48.83,14h 37m,2h 51m,,,,,,,